,Unnamed: 0,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,0,69,335.5,13.0,,335.5,13.0,0,335.5,1067.0,ML,335.5,13.0,335.5,13.0,335.5,13.0,,,,,,Int_detection
1,1,70,332.0,13.5,,332.0,13.5,0,333.75,1066.75,Recorded: ML,335.5,13.0,332.0,13.5,333.75,13.25,3.5355339059327378,1.7677669529663689,,,,0
2,2,71,332.0,10.0,,332.0,10.0,0,333.1666666666667,1067.8333333333333,Recorded: ML,332.0,13.5,332.0,10.0,333.1666666666667,12.166666666666664,3.5,1.230401921686041,-69.8293465881487,,,0
3,3,72,332.0,10.5,,332.0,10.5,0,332.0,1068.6666666666667,Recorded: ML,332.58333333333337,11.083333333333332,332.0,10.5,332.875,11.75,0.5,1.4337208778405413,26.161566442013854,,,0
4,4,73,335.5,9.5,,335.5,9.5,0,333.1666666666667,1070.0,Recorded: ML,330.8333333333333,10.500000000000002,335.5,9.5,333.4,11.3,3.6400549446402586,1.7716909687890636,-95.64824737373284,,,0
5,5,74,334.5,12.5,,334.5,12.5,0,334.0,1069.1666666666667,Recorded: ML,334.33333333333337,8.666666666666666,334.5,12.5,333.5833333333333,11.5,3.1622776601683795,1.1785113019775122,-93.81407483428632,,,0
6,6,75,331.5,11.0,,331.5,11.0,0,333.8333333333333,1069.0,Recorded: ML,334.8333333333333,11.666666666666668,331.5,11.0,333.2857142857143,11.428571428571427,3.3541019662496847,0.23570226039558284,-89.99999999999218,,,0
7,7,76,331.5,12.0,,331.5,12.0,0,332.5,1068.1666666666667,Recorded: ML,333.66666666666663,11.166666666666664,331.5,12.0,333.0625,11.5,1.0,1.5723301886760446,-12.99461679192825,,,0
8,8,77,,,,331.5,12.0,1,331.5,1068.3333333333333,Non,331.1666666666667,12.666666666666668,,,332.8888888888889,11.555555555555555,,1.0137937550496783,-41.46770541609869,,,
9,9,78,331.5,14.0,,331.5,14.0,0,331.5,1067.3333333333333,Recorded: ML,331.1666666666667,12.666666666666668,331.5,14.0,332.75,11.8,,1.0,99.46232220801716,,,0
10,10,79,331.5,10.0,,331.5,10.0,0,331.5,1068.0,Recorded: ML,331.5,13.666666666666664,331.5,10.0,332.6363636363636,11.636363636363635,4.0,0.6666666666667425,180.0,,,0
11,11,80,,,,331.5,10.0,1,331.5,1068.6666666666667,Non,331.5,11.333333333333336,,,332.27272727272725,11.363636363636365,,0.6666666666667425,0.0,,,
12,12,81,,,,331.5,10.0,2,331.5,1070.0,Non,331.5,11.333333333333336,,,332.22727272727275,11.045454545454543,,1.3333333333332575,0.0,,,
13,13,82,,,,331.5,10.0,3,331.5,1070.0,Non,331.5,11.333333333333336,,,332.1818181818182,11.045454545454543,,0.0,,,,
14,14,83,,,,331.5,10.0,4,331.5,1070.0,Non,331.5,11.333333333333336,,,332.1363636363636,11.0,,0.0,,,,
15,15,84,,,,331.5,10.0,5,331.5,1070.0,Non,331.5,11.333333333333336,,,331.77272727272725,11.045454545454543,,0.0,,,,
16,16,85,,,,331.5,10.0,6,331.5,1070.0,Non,331.5,11.333333333333336,,,331.5,10.818181818181818,,0.0,,,,
17,17,86,,,,331.5,10.0,7,331.5,1070.0,Non,331.5,11.333333333333336,,,331.5,10.727272727272727,,0.0,,,,
18,18,87,332.0,8.5,,332.0,8.5,0,331.6666666666667,1070.5,Recorded: ML,331.5,11.333333333333336,332.0,8.5,331.54545454545456,10.409090909090908,,0.5270462766947359,,,,0
19,19,88,331.5,9.0,,331.5,9.0,0,331.6666666666667,1070.8333333333333,Recorded: ML,331.83333333333337,9.0,331.5,9.0,331.54545454545456,10.136363636363637,0.7071067811865476,0.33333333333325754,18.434948822923968,,,0
20,20,89,334.0,8.5,,334.0,8.5,0,332.5,1071.3333333333333,Recorded: ML [BS: Out of Range],331.6666666666667,8.833333333333332,334.0,8.5,331.77272727272725,9.636363636363637,2.549509756796392,0.9718253158075338,-59.036243467925914,,,0
21,21,90,333.0,11.0,,333.0,11.0,0,332.8333333333333,1070.5,Recorded: ML [BS: Out of Range],333.3333333333333,8.166666666666666,333.0,11.0,331.90909090909093,9.727272727272727,2.6925824035672523,0.8975274678556733,-99.1623470457216,,,0
22,22,91,333.0,10.5,,333.0,10.5,0,333.3333333333333,1070.0,Recorded: ML [BS: Out of Range],333.16666666666663,10.333333333333334,333.0,10.5,332.04545454545456,9.772727272727273,0.5,0.7071067811865476,23.198590513647517,,,0
23,23,92,333.0,10.5,,333.0,10.5,0,333.0,1069.3333333333333,Recorded: ML [BS: Out of Range],333.8333333333333,10.5,333.0,10.5,332.1818181818182,9.818181818181818,0.0,0.7453559924999892,-71.56505117707408,,,0
24,24,93,333.0,10.0,,333.0,10.0,0,333.0,1069.6666666666667,Recorded: ML [BS: Out of Range],332.6666666666667,11.333333333333332,333.0,10.0,332.3181818181818,9.818181818181818,0.5,0.3333333333334849,-153.43494882292592,,,0
25,25,94,332.5,10.5,,332.5,10.5,0,332.8333333333333,1069.6666666666667,Recorded: ML [BS: Out of Range],333.0,10.000000000000002,332.5,10.5,332.40909090909093,9.863636363636363,0.7071067811865476,0.16666666666668561,90.0,,,0
26,26,95,332.5,10.5,,332.5,10.5,0,332.6666666666667,1069.6666666666667,Recorded: ML [BS: Out of Range],332.66666666666663,10.333333333333334,332.5,10.5,332.5,9.909090909090908,0.0,0.16666666666662877,0.0,,,0
27,27,96,331.0,10.0,,331.0,10.0,0,332.0,1069.6666666666667,Recorded: ML [BS: Out of Range],332.50000000000006,10.333333333333334,331.0,10.0,332.45454545454544,9.909090909090908,1.5811388300841898,0.6666666666666856,0.0,,,0
28,28,97,330.0,10.5,,330.0,10.5,0,331.1666666666667,1069.6666666666667,Recorded: ML [BS: Out of Range],331.3333333333333,10.333333333333334,330.0,10.5,332.3181818181818,9.954545454545457,1.118033988749895,0.8333333333333144,0.0,,,0
29,29,98,331.0,10.0,,331.0,10.0,0,330.6666666666667,1069.8333333333333,Recorded: ML [BS: Out of Range],330.33333333333337,10.333333333333334,331.0,10.0,332.22727272727275,10.090909090909092,1.118033988749895,0.527046276694682,-18.434948822906378,,,0
30,30,99,333.0,9.5,,333.0,9.5,0,331.3333333333333,1070.0,Recorded: ML [BS: Out of Range],330.1666666666667,9.999999999999998,333.0,9.5,332.3636363636364,10.136363636363637,2.0615528128088303,0.6871842709362583,-147.52880770916025,,,0
31,31,100,332.5,10.0,,332.5,10.0,0,332.1666666666667,1070.1666666666667,Recorded: ML [BS: Out of Range],331.99999999999994,9.833333333333334,332.5,10.0,332.22727272727275,10.272727272727273,0.7071067811865476,0.8498365855988494,-2.726310993908654,,,0
32,32,101,332.5,11.5,,332.5,11.5,0,332.6666666666667,1069.6666666666667,Recorded: ML [BS: Out of Range],333.00000000000006,9.666666666666668,332.5,11.5,332.1818181818182,10.318181818181818,1.5,0.7071067811865476,-56.30993247402473,,,0
33,33,102,332.0,11.5,,332.0,11.5,0,332.3333333333333,1069.0,Recorded: ML [BS: Out of Range],333.1666666666667,10.833333333333336,332.0,11.5,332.09090909090907,10.409090909090908,0.5,0.7453559925000147,-71.56505117707799,,,0
34,34,103,333.0,11.0,,333.0,11.0,0,332.5,1068.6666666666667,Recorded: ML [BS: Out of Range],331.99999999999994,11.666666666666664,333.0,11.0,332.09090909090907,10.454545454545457,1.118033988749895,0.37267799624990566,53.130102354163796,,,0
35,35,104,331.0,12.5,,331.0,12.5,0,332.0,1068.3333333333333,Recorded: ML [BS: Out of Range],332.6666666666667,11.666666666666668,331.0,12.5,331.90909090909093,10.681818181818182,2.5,0.6009252125774156,-82.874983651094,,,0
36,36,105,332.0,12.0,,332.0,12.0,0,332.0,1068.1666666666667,Recorded: ML [BS: Out of Range],331.5,11.999999999999998,332.0,12.0,331.8636363636364,10.818181818181818,1.118033988749895,0.16666666666651508,56.30993247400819,,,0
37,37,106,330.5,13.0,,330.5,13.0,0,331.1666666666667,1067.5,Recorded: ML [BS: Out of Range],332.0,12.000000000000002,330.5,13.0,331.6818181818182,11.045454545454543,1.8027756377319943,1.0671873729055072,-51.3401917459061,,,0
38,38,107,330.5,13.0,,330.5,13.0,0,331.0,1067.3333333333333,Recorded: ML [BS: Out of Range],330.33333333333337,13.166666666666664,330.5,13.0,331.6363636363636,11.318181818181818,0.0,0.23570226039558284,6.340191745915869,,,0
39,39,108,332.5,12.0,,332.5,12.0,0,331.1666666666667,1067.3333333333333,Recorded: ML [BS: Out of Range],330.8333333333333,12.833333333333332,332.5,12.0,331.8636363636364,11.454545454545455,2.23606797749979,0.16666666666668561,134.99999999999022,,,0
40,40,109,333.0,12.0,,333.0,12.0,0,332.0,1067.6666666666667,Recorded: ML [BS: Out of Range],331.33333333333337,12.666666666666664,333.0,12.0,332.04545454545456,11.636363636363635,0.5,0.8975274678557894,21.801409486361248,,,0
41,41,110,337.0,10.5,,337.0,10.5,0,334.1666666666667,1068.5,Recorded: ML [BS: Out of Range],332.8333333333333,12.000000000000002,337.0,10.5,332.40909090909093,11.727272727272727,4.272001872658765,2.3213980461973436,-0.7638984609413424,,,0
42,42,111,337.0,9.0,,337.0,9.0,0,335.6666666666667,1069.5,Recorded: ML [BS: Out of Range],336.33333333333337,10.666666666666666,337.0,9.0,332.8181818181818,11.636363636363635,1.5,1.8027756377319946,12.652556500559884,,,0
43,43,112,337.0,9.0,,337.0,9.0,0,337.0,1070.5,Recorded: ML [BS: Out of Range],337.1666666666667,9.5,337.0,9.0,333.22727272727275,11.409090909090908,0.0,1.6666666666666514,3.1798301198646257,,,0
44,44,113,335.0,11.0,,335.0,11.0,0,336.3333333333333,1070.3333333333333,Recorded: ML [BS: Out of Range],338.3333333333333,8.5,335.0,11.0,333.5,11.363636363636365,2.8284271247461903,0.6871842709363135,157.1663458220878,,,0
45,45,114,334.0,11.5,,334.0,11.5,0,335.3333333333333,1069.5,Recorded: ML [BS: Out of Range],335.66666666666663,9.833333333333332,334.0,11.5,333.59090909090907,11.409090909090908,1.118033988749895,1.3017082793177273,25.76932762433041,,,0
