,Unnamed: 0,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,0,5086,935.5,1006.0,,935.5,1006.0,0,935.5,74.0,ML,935.5,1006.0,935.5,1006.0,935.5,1006.0,,,,,,Int_detection
1,1,5087,908.8460693359376,1013.7781372070312,1908.9672158325995,908.8460693359376,1013.7781372070312,0,922.1730346679688,70.11093139648438,Recorded: BS,935.5,1006.0,908.8460693359376,1013.7781372070312,922.1730346679688,1009.8890686035156,27.76565213093428,13.882826065467139,,,,0
2,2,5088,909.4122314453124,1019.7229614257812,2145.945956123527,909.4122314453124,1019.7229614257812,0,917.91943359375,66.83296712239583,Recorded: BS,908.8460693359376,1013.7781372070312,909.4122314453124,1019.7229614257812,917.91943359375,1013.167032877604,5.971722911013915,5.370118423349317,21.350748189387833,,,0
3,3,5089,906.9634399414062,1022.1707763671876,2320.975792281446,906.9634399414062,1022.1707763671876,0,908.407246907552,61.44270833333329,Recorded: BS,913.6658325195312,1016.4449971516926,906.9634399414062,1022.1707763671876,915.1804351806641,1015.41796875,3.462423691141094,10.9332788021777,-8.080151783659776,,,0
4,4,5090,900.8035888671876,1026.159912109375,2753.6972661648183,900.8035888671876,1026.159912109375,0,905.7264200846353,57.31545003255204,Recorded: BS,898.8950602213542,1023.9475504557292,900.8035888671876,1026.159912109375,912.3050659179687,1017.566357421875,7.338730763977631,4.921493018976824,27.45571950203778,,,0
5,5,5091,910.8245239257812,1025.4093017578123,2640.1464381984697,910.8245239257812,1025.4093017578123,0,906.1971842447915,55.42000325520837,Recorded: BS,903.0455932617186,1026.811808268229,910.8245239257812,1025.4093017578123,912.0583089192708,1018.873514811198,10.0490076797874,1.9530328671658679,46.95349339660499,207.01097547730305,11106.699430403627,0
6,6,5092,911.4230346679688,1027.3846435546877,1911.2306026658046,911.4230346679688,1027.3846435546877,0,907.6837158203124,53.682047526041664,Recorded: BS,906.667948404948,1026.4754435221357,911.4230346679688,1027.3846435546877,911.9675554547991,1020.0893903459821,2.0640228494363098,2.2869775341187646,26.59339105721268,55.04685297926353,99062.06157322199,0
7,7,5093,911.6000366210938,1040.699951171875,2030.5000895078408,911.6000366210938,1040.699951171875,0,911.2825317382812,48.835367838541664,Recorded: BS,909.1702473958335,1028.0559082031248,911.6000366210938,1040.699951171875,911.9216156005859,1022.6657104492188,13.316484019129883,6.036702742776985,-3.946398815099738,7.6549485724035,99883.6225133928,0
8,8,5094,917.5000610351562,1059.5001220703123,2281.0348696923465,917.5000610351562,1059.5001220703123,0,913.5077107747397,37.471761067708336,Recorded: BS,914.88134765625,1036.0113118489585,917.5000610351562,1059.5001220703123,912.5414428710938,1026.7584228515623,19.704230862862676,11.579420563500722,-25.515819662893104,8.14830770388714,87400.7254331612,0
9,9,5095,910.0509033203124,1060.087890625,1850.6126482853435,910.0509033203124,1060.087890625,0,913.050333658854,26.570678710937575,Recorded: BS,915.732889811198,1053.8918457031252,910.0509033203124,1060.087890625,912.2923889160156,1030.0913696289062,7.472310387992163,10.9106732319887,-13.481809396402813,-20.859493308813093,90778.79513424766,0
10,10,5096,909.5,1064.0,1410.0,909.5,1064.0,0,912.3503214518228,18.803995768229242,Recorded: BS,912.5929565429686,1064.3304036458333,909.5,1064.0,912.038535378196,1033.1739723899148,3.9507080669538506,7.798165234370795,-2.747608939714446,-58.522727732180506,112908.33861987227,0
11,11,5097,912.5,1067.5,943.0,912.5,1067.5,0,910.683634440104,16.137369791666668,Recorded: BS,911.6503092447915,1068.962687174479,912.5,1067.5,909.9476262872867,1038.7648814808238,4.609772228646444,3.1446366553085716,-26.85592955277184,-137.43534823730656,111108.48216133565,0
12,12,5098,,,,912.5,1067.5,1,911.5,13.666666666666666,Non,909.0169474283853,1066.5292561848958,,,910.2798018022017,1043.6486871892757,,2.602081216885641,50.29059158767069,,,
13,13,5099,,,,912.5,1067.5,2,912.5,12.5,Non,909.0169474283853,1066.5292561848958,,,910.560508034446,1047.9920543323863,,1.5365907428821475,22.316793540677725,,,
14,14,5100,,,,912.5,1067.5,3,912.5,12.5,Non,909.0169474283853,1066.5292561848958,,,911.0638316761364,1052.1128928444602,,0.0,,,,
15,15,5101,,,,912.5,1067.5,4,912.5,12.5,Non,909.0169474283853,1066.5292561848958,,,912.1271417791194,1055.8710826526988,,0.0,,,,
16,16,5102,930.0,1071.0,512.0,930.0,1071.0,0,918.3333333333335,11.333333333333334,Recorded: BS,909.0169474283853,1066.5292561848958,930.0,1071.0,913.8703668767756,1060.0156915838068,,5.9488560991917305,,-344.20622014004516,39230.262496321266,0
17,17,5103,939.5,1069.0,620.0,939.5,1069.0,0,927.3333333333335,10.833333333333334,Recorded: BS,924.1666666666667,1069.8333333333335,939.5,1069.0,916.4228182705966,1063.798905806108,9.708243919473801,9.013878188659973,8.130102354155687,-365.37177980907893,24450.71266308484,0
18,18,5104,945.455078125,1065.528076171875,944.0718921552034,945.455078125,1065.528076171875,0,938.318359375,11.490641276041666,Recorded: BS,936.3333333333335,1069.6666666666667,945.455078125,1065.528076171875,919.5005493164062,1066.0560080788352,6.893272846997693,11.00467404640587,6.604138773941845,-209.5343937328772,83199.00042704794,0
19,19,5105,948.4252319335938,1063.864013671875,1110.5876896106931,948.4252319335938,1063.864013671875,0,944.4601033528647,13.869303385416666,Recorded: BS,949.3033854166665,1067.8520507812498,948.4252319335938,1063.864013671875,922.3119284889917,1066.452725497159,3.4045436772951243,6.586277592101176,17.746790418231907,-39.59559644231223,84415.83498146872,0
20,20,5106,947.9828491210938,1062.7535400390623,1417.0004634401705,947.9828491210938,1062.7535400390623,0,947.2877197265624,15.951456705729242,Recorded: BS,950.6018473307292,1063.7520345052085,947.9828491210938,1062.7535400390623,925.7602871981534,1066.6950572620738,1.195346912811173,3.5115205831792786,15.195473810120637,128.28106509108946,42134.428391432186,0
21,21,5107,947.5,1061.5,1225.0,947.5,1061.5,0,947.9693603515624,17.29414876302091,Recorded: BS,950.1153361002603,1061.9663899739585,947.5,1061.5,929.2148326526989,1066.4677845348012,1.3433189879078689,1.5058073921868367,26.718019399143145,174.9290625078857,13669.997373668784,0
