,Unnamed: 0,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,0,699,1102.0,611.5,,1102.0,611.5,0,1102.0,468.5,ML,1102.0,611.5,1102.0,611.5,1102.0,611.5,,,,,,Int_detection
1,1,700,1095.0,616.0,1224.0,1095.0,616.0,0,1098.5,466.25,Recorded: BS,1102.0,611.5,1095.0,616.0,1098.5,613.75,8.321658488546621,4.16082924427331,,,,0
2,2,701,1095.0,615.5,1188.0,1095.0,615.5,0,1097.3333333333333,465.6666666666667,Recorded: BS,1095.0,616.0,1095.0,615.5,1097.3333333333333,614.3333333333334,0.5,1.3043729868749365,-6.170175095031842,,,0
3,3,702,1095.5860595703123,611.7793579101562,1124.0399671944033,1095.5860595703123,611.7793579101562,0,1095.1953531901042,465.57354736328125,Recorded: BS,1096.1666666666665,614.9166666666667,1095.5860595703123,611.7793579101562,1096.896514892578,613.6948394775392,3.766516079969889,2.1400070788444947,-24.07112101846998,,,0
4,4,703,1095.8052978515623,611.519775390625,1191.5562295259151,1095.8052978515623,611.519775390625,0,1095.4637858072915,467.06695556640625,Recorded: BS,1093.0573730468752,614.5195719401041,1095.8052978515623,611.519775390625,1096.678271484375,613.2598266601562,0.3397771452167522,1.517341138680109,-102.68374985212873,,,0
5,5,704,1096.68896484375,610.2987670898438,1228.9759007423709,1096.68896484375,610.2987670898438,0,1096.0267740885415,468.8006998697917,Recorded: BS,1095.7322184244792,611.4396362304688,1096.68896484375,610.2987670898438,1096.6800537109377,612.7663167317709,1.5072254720705918,1.8228617924423889,-7.800034753254624,1.3508031010656605,1401.0766867083166,0
6,6,705,1096.6270751953123,610.6025390625,1217.655682853394,1096.6270751953123,610.6025390625,0,1096.373779296875,469.19297281901044,Recorded: BS,1096.5897623697915,609.465555826823,1096.6270751953123,610.6025390625,1096.6724853515623,612.4572056361608,0.3100124835473353,0.5237276785690644,-23.506165079948193,4.534925109302595,1206.9919226699167,0
7,7,706,1102.836669921875,618.0407104492188,1100.312684350036,1102.836669921875,618.0407104492188,0,1098.7175699869792,467.0193277994792,Recorded: BS,1096.7207845052085,610.4147542317709,1102.836669921875,618.0407104492188,1097.4430084228516,613.155143737793,9.6894509775505,3.1965743335565233,-91.34699947940375,-7.386237417683556,1981.9919451110998,0
8,8,707,1101.835205078125,618.7108764648438,1169.9082154264615,1101.835205078125,618.7108764648438,0,1100.4329833984377,464.2152913411458,Recorded: BS,1101.0613606770835,615.1543172200521,1101.835205078125,618.7108764648438,1097.9310302734377,613.772447374132,1.20501216664642,3.2871360835649006,-15.700114929983936,-5.938241096085325,1756.2582321195139,0
9,9,708,1111.2501220703123,622.75,1646.9998308406214,1111.2501220703123,622.75,0,1105.3073323567708,460.1661376953125,Recorded: BS,1102.1483968098958,618.5887451171874,1111.2501220703123,622.75,1099.262939453125,614.6702026367187,10.244763584487153,6.336791223889858,18.82649918981817,26.939480954676814,18375.812319062235,0
