,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,917,772.0,896.0,,772.0,896.0,0,772.0,896.0,ML,772.0,896.0,772.0,896.0,772.0,896.0,,,,,,Int_detection
1,918,772.5,896.5,,772.5,896.5,0,772.25,896.25,Recorded: ML,772.0,896.0,772.5,896.5,772.25,896.25,0.7071067811865476,0.3535533905932738,,,,0
2,919,771.5,897.0,,771.5,897.0,0,772.0,896.5,Recorded: ML,772.5,896.5,771.5,897.0,772.0,896.5,1.118033988749895,0.3535533905932738,90.0,,,0
3,920,769.5,894.0,,769.5,894.0,0,771.1666666666666,895.8333333333334,Recorded: ML [BS: Out of Range],771.75,896.75,769.5,894.0,771.375,895.875,3.605551275463989,0.8838834764831844,90.0,,,0
4,921,772.5,894.5,,772.5,894.5,0,771.1666666666666,895.1666666666666,Recorded: ML [BS: Out of Range],770.3333333333333,895.1666666666667,772.5,894.5,771.6,895.6,3.0413812651491097,0.3553167600887942,84.28940686250552,,,0
5,922,771.5,894.5,,771.5,894.5,0,771.1666666666666,894.3333333333334,Recorded: ML [BS: Out of Range],771.1666666666666,894.4999999999999,771.5,894.5,771.5833333333334,895.4166666666666,1.0,0.18408935028651335,-44.483835770233924,,,0
6,923,770.5,893.5,,770.5,893.5,0,771.5,894.1666666666666,Recorded: ML [BS: Out of Range],771.1666666666666,893.5000000000001,770.5,893.5,771.4285714285714,895.1428571428571,1.4142135623730951,0.3145201146100751,-24.281460095521265,,,0
7,924,772.5,893.5,,772.5,893.5,0,771.5,893.8333333333334,Recorded: ML [BS: Out of Range],771.8333333333334,893.9999999999999,772.5,893.5,771.5625,894.9375,2.0,0.2451701824597136,62.58723096362265,,,0
8,925,771.5,892.5,,771.5,892.5,0,771.5,893.1666666666666,Recorded: ML [BS: Out of Range],771.5,893.5000000000001,771.5,892.5,771.5555555555555,894.6666666666666,1.4142135623730951,0.27092235004352655,-34.580142674761284,,,0
9,926,,,,771.5,892.5,1,771.8333333333334,892.8333333333334,Non,771.5,892.4999999999999,,,771.55,894.45,,,,,,
10,927,,,,771.5,892.5,2,771.5,892.5,Non,771.5,892.4999999999999,,,771.5454545454545,894.2727272727273,,,,,,
11,928,,,,771.5,892.5,3,771.5,892.5,Non,771.5,892.4999999999999,,,771.5,893.9545454545455,,,,,,
12,929,,,,771.5,892.5,4,771.5,892.5,Non,771.5,892.4999999999999,,,771.4090909090909,893.5909090909091,,,,,,
13,930,,,,771.5,892.5,5,771.5,892.5,Non,771.5,892.4999999999999,,,771.4090909090909,893.1818181818181,,,,,,
14,931,,,,771.5,892.5,6,771.5,892.5,Non,771.5,892.4999999999999,,,771.5909090909091,893.0454545454545,,,,,,
15,932,773.0,893.0,,773.0,893.0,0,772.0,892.6666666666666,Recorded: ML,771.5,892.4999999999999,773.0,893.0,771.6363636363636,892.9090909090909,,0.14373989364399437,-34.695153531259756,,,0
16,933,770.5,892.5,,770.5,892.5,0,771.6666666666666,892.6666666666666,Recorded: ML,772.5,892.8333333333333,770.5,892.5,771.5454545454545,892.7272727272727,2.5495097567963922,0.20327890704540308,-45.0,,,0
17,934,771.0,893.0,,771.0,893.0,0,771.5,892.8333333333334,Recorded: ML,771.3333333333333,892.6666666666666,771.0,893.0,771.5909090909091,892.6818181818181,0.7071067811865476,0.06428243465342481,71.56505117709233,,,0
18,935,,,,771.0,893.0,1,770.8333333333334,892.8333333333334,Non,771.3333333333334,893.0000000000001,,,771.4545454545455,892.6363636363636,,,,,,
19,936,,,,771.0,893.0,2,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.4090909090909,892.6818181818181,,,,,,
20,937,,,,771.0,893.0,3,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.3636363636364,892.7272727272727,,,,,,
21,938,,,,771.0,893.0,4,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.3181818181819,892.7727272727273,,,,,,
22,939,,,,771.0,893.0,5,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.2727272727273,892.8181818181819,,,,,,
23,940,,,,771.0,893.0,6,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.2272727272727,892.8636363636364,,,,,,
24,941,,,,771.0,893.0,7,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.1818181818181,892.9090909090909,,,,,,
25,942,,,,771.0,893.0,8,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.1363636363636,892.9545454545455,,,,,,
26,943,,,,771.0,893.0,9,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,770.9545454545455,892.9545454545455,,,,,,
27,944,,,,771.0,893.0,10,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
28,945,,,,771.0,893.0,11,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
29,946,,,,771.0,893.0,12,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
30,947,,,,771.0,893.0,13,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
31,948,,,,771.0,893.0,14,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
32,949,,,,771.0,893.0,15,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
33,950,,,,771.0,893.0,16,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
34,951,,,,771.0,893.0,17,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
35,952,,,,771.0,893.0,18,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
36,953,,,,771.0,893.0,19,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
37,954,,,,771.0,893.0,20,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
38,955,,,,771.0,893.0,21,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
39,956,,,,771.0,893.0,22,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
40,957,,,,771.0,893.0,23,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
41,958,,,,771.0,893.0,24,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
42,959,,,,771.0,893.0,25,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
43,960,,,,771.0,893.0,26,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
44,961,,,,771.0,893.0,27,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
45,962,,,,771.0,893.0,28,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
46,963,,,,771.0,893.0,29,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
47,964,,,,771.0,893.0,30,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
48,965,,,,771.0,893.0,31,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
49,966,,,,771.0,893.0,32,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
50,967,,,,771.0,893.0,33,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
51,968,,,,771.0,893.0,34,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
52,969,,,,771.0,893.0,35,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
53,970,,,,771.0,893.0,36,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
54,971,,,,771.0,893.0,37,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
55,972,,,,771.0,893.0,38,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
56,973,,,,771.0,893.0,39,771.0,893.0,Non,771.3333333333334,893.0000000000001,,,771.0,893.0,,,,,,
57,974,774.0,894.0,,774.0,894.0,0,772.0,893.3333333333334,Recorded: ML,771.3333333333334,893.0000000000001,774.0,894.0,771.2727272727273,893.0909090909091,,0.28747978728802465,,,,0
58,975,773.5,892.5,,773.5,892.5,0,772.8333333333334,893.1666666666666,Recorded: ML [BS: Out of Range],773.0,893.6666666666667,773.5,892.5,771.5,893.0454545454545,1.5811388300841898,0.23177361425425194,-29.744881296965925,,,0
59,976,773.0,891.5,,773.0,891.5,0,773.5,892.6666666666666,Recorded: ML [BS: Out of Range],773.6666666666667,892.9999999999999,773.0,891.5,771.6818181818181,892.9090909090909,1.118033988749895,0.22727272727267972,-25.559965171813005,,,0
60,977,774.0,892.5,,774.0,892.5,0,773.5,892.1666666666666,Recorded: ML [BS: Out of Range],774.1666666666666,892.1666666666666,774.0,892.5,771.9545454545455,892.8636363636364,1.4142135623730951,0.2764892059227313,27.40757543783576,,,0
61,978,771.5,893.0,,771.5,893.0,0,772.8333333333334,892.3333333333334,Recorded: ML [BS: Out of Range],773.5,891.6666666666666,771.5,893.0,772.0,892.8636363636364,2.5495097567963922,0.045454545454504114,9.462322208014,,,0
62,979,772.0,893.5,,772.0,893.5,0,772.5,893.0,Recorded: ML [BS: Out of Range],772.1666666666667,892.5000000000001,772.0,893.5,772.0909090909091,892.9090909090909,0.7071067811865476,0.10163945352272696,26.56505117704933,,,0
63,980,773.0,894.5,,773.0,894.5,0,772.1666666666666,893.6666666666666,Recorded: ML [BS: Out of Range],772.1666666666666,893.6666666666666,773.0,894.5,772.2727272727273,893.0454545454545,1.4142135623730951,0.22727272727267972,10.30484646880042,,,0
