,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,11686,1453.0,880.0,,1453.0,880.0,0,1453.0,880.0,ML,1453.0,880.0,1453.0,880.0,1453.0,880.0,,,,,,Int_detection
1,11687,1458.2501220703125,876.7501220703125,91.99999280487646,1458.2501220703125,876.7501220703125,0,1455.6250610351562,878.3750610351562,Recorded: BS,1453.0,880.0,1458.2501220703125,876.7501220703125,1455.6250610351562,878.3750610351562,6.174584059760813,3.0872920298804063,,,,0
2,11688,1460.25,877.25,107.99998214197694,1460.25,877.25,0,1457.1667073567708,878.0000406901041,Recorded: BS,1458.2501220703125,876.7501220703125,1460.25,877.25,1457.1667073567708,878.0000406901041,2.061404782724592,1.5866044372024661,18.085726081935718,,,0
3,11689,1461.840087890625,879.1199951171875,127.839998397827,1461.840087890625,879.1199951171875,0,1460.1134033203125,877.7067057291666,Recorded: BS,1458.7083536783853,877.625020345052,1461.840087890625,879.1199951171875,1458.3350524902344,878.280029296875,2.4546407554298764,1.201425807451135,27.148719092434316,,,0
4,11690,1462.0001220703125,880.4999389648438,130.49997943307972,1462.0001220703125,880.4999389648438,0,1461.3634033203125,878.9566446940104,Recorded: BS,1463.0600992838542,877.4133707682291,1462.0001220703125,880.4999389648438,1459.06806640625,878.7240112304687,1.3891925573341468,0.8569885404310257,17.726502292848622,,,0
5,11691,1461.2498779296875,881.2500610351562,130.588219645324,1461.2498779296875,881.2500610351562,0,1461.6966959635417,880.2899983723959,Recorded: BS,1462.6134033203125,880.2065836588541,1461.2498779296875,881.2500610351562,1459.4317016601562,879.14501953125,1.0609191255284522,0.5563079967160725,17.97899163983095,9.96764509719978,38.753961746918854,0
6,11692,1458.0655517578125,880.5692138671875,153.72261181031718,1458.0655517578125,880.5692138671875,0,1460.4385172526042,880.7730712890625,Recorded: BS,1462.029988606771,881.6233520507814,1458.0655517578125,880.5692138671875,1459.236537388393,879.3484758649554,3.2562994387831043,0.28192831127391527,84.62629301667968,10.82965110207135,35.18462393745605,0
7,11693,1453.743408203125,880.0406494140625,145.17298093409045,1453.743408203125,880.0406494140625,0,1457.686279296875,880.6199747721354,Recorded: BS,1459.1803385416667,881.2561442057291,1453.743408203125,880.0406494140625,1458.5498962402344,879.4349975585938,4.354343267179797,0.692070856064965,39.009861713406096,9.061158748993547,51.00868377521256,0
8,11694,1450.9500732421875,879.6500244140625,83.99997308579623,1450.9500732421875,879.6500244140625,0,1454.2530110677083,880.0866292317709,Recorded: BS,1454.9340413411458,880.4668782552083,1450.9500732421875,879.6500244140625,1457.7054714626736,879.4588894314236,2.8205155724832833,0.8447627042820399,5.561151626132762,2.4714397187704815,500.58876572479335,0
9,11695,,,,1450.9500732421875,879.6500244140625,1,1451.8811848958333,879.7802327473959,Non,1450.8197428385415,879.5532836914064,,,1457.029931640625,879.4780029296875,,,,,,
10,11696,1450.193115234375,883.21728515625,170.93796101864427,1450.193115234375,883.21728515625,0,1450.69775390625,880.839111328125,Recorded: BS,1450.8197428385415,879.5532836914064,1450.193115234375,883.21728515625,1456.4084028764205,879.8179376775569,,0.7084162883097004,-27.055040326860823,5.027340718938229,546.5864794411697,0
11,11697,,,,1450.193115234375,883.21728515625,1,1450.4454345703125,882.0281982421875,Non,1449.5143229166667,881.8979899088541,,,1456.153231534091,880.1104181463069,,,,,,
12,11698,1460.2115478515625,884.557861328125,131.92307683367926,1460.2115478515625,884.557861328125,0,1453.5325927734375,883.6641438802084,Recorded: BS,1449.5143229166667,881.8979899088541,1460.2115478515625,884.557861328125,1456.33154296875,880.8202126242898,,0.7318491434067174,-55.204486158594094,0.9816319812378281,550.3762397163119,0
13,11699,1464.9742431640625,886.4396362304688,118.79312828247566,1464.9742431640625,886.4396362304688,0,1458.4596354166667,884.7382609049479,Recorded: BS,1456.6197509765625,885.3000895182292,1464.9742431640625,886.4396362304688,1456.7610196200285,881.6556340997869,5.120970945318896,0.9393504328604878,-13.105186413642942,-1.0095313373305388,573.7276979474001,0
14,11700,1469.189697265625,886.7239990234375,121.58620396275182,1469.189697265625,886.7239990234375,0,1464.7918294270833,885.9071655273438,Recorded: BS,1463.386678059896,885.8123779296874,1469.189697265625,886.7239990234375,1457.4291659268465,882.3469071821733,4.225034376239452,0.9613937599893779,-16.818402147490744,-2.267538711733322,566.8020057335959,0
15,11701,1470.9197998046875,887.15576171875,133.92451927234106,1470.9197998046875,887.15576171875,0,1468.3612467447917,886.7731323242188,Recorded: BS,1471.1240234374998,887.0760701497396,1470.9197998046875,887.15576171875,1458.2400457208807,882.951981977983,1.783163991542568,1.0117517229524273,-9.244504081502642,-2.275666085922056,566.5725641211507,0
16,11702,1470.2501220703125,887.2501220703125,146.99998670762216,1470.2501220703125,887.2501220703125,0,1470.119873046875,887.0432942708334,Recorded: BS,1471.9306640625002,887.6390991210938,1470.2501220703125,887.2501220703125,1459.0582497336648,883.4974420720881,0.6762929423442415,0.9833537109285876,-3.0405125380518556,1.205077995578153,555.4242351878089,0
17,11703,1467.5001220703125,887.0001831054688,147.59999145400434,1467.5001220703125,887.0001831054688,0,1469.5566813151042,887.1353556315104,Recorded: BS,1471.8784993489583,887.313456217448,1467.5001220703125,887.0001831054688,1459.915937943892,884.0820756392045,2.7613347291024253,1.0379910759549211,0.5902412403843329,3.979853095459611,488.73130330586383,0
18,11704,1464.005126953125,886.580322265625,124.89117126790279,1464.005126953125,886.580322265625,0,1467.2517903645833,886.9435424804688,Recorded: BS,1468.9934895833335,887.2274169921874,1464.005126953125,886.580322265625,1460.8488214666193,884.676591352983,3.5201241446856337,1.1062190564736973,-1.7709768936199317,-1.749810292482577,248.30332350416245,0
