,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,25109,1122.0,390.5,,1122.0,390.5,0,1122.0,390.5,ML,1122.0,390.5,1122.0,390.5,1122.0,390.5,,,,,,Int_detection
1,25110,,,,1122.0,390.5,1,1122.0,390.5,Non,1122.0,390.5,,,1122.0,390.5,,,,,,
2,25111,1117.0001220703125,397.0,79.99999186692003,1117.0001220703125,397.0,0,1120.3333740234375,392.6666666666667,Recorded: BS,1122.0,390.5,1117.0001220703125,397.0,1120.3333740234375,392.6666666666667,,2.7335117688053647,,,,0
3,25112,1118.0,397.0000305175781,119.99998645168125,1118.0,397.0000305175781,0,1119.0000406901042,394.8333435058594,Recorded: BS,1118.666748046875,394.83333333333337,1118.0,397.0000305175781,1119.7500305175781,393.75000762939453,0.9998779301532181,1.2304134619518765,-9.266911604075856,,,0
4,25113,1117.0,398.9999694824219,99.99999994889367,1117.0,398.9999694824219,0,1117.3333740234375,397.6666666666667,Recorded: BS,1117.666707356771,397.00002034505206,1117.0,398.9999694824219,1119.2000244140625,394.8,2.236013386163037,1.1853230328624371,-0.6545965772364984,,,0
5,25114,1118.5001220703125,399.0,148.49997847979103,1118.5001220703125,399.0,0,1117.8333740234375,398.3333333333333,Recorded: BS,1115.6667073567708,400.499989827474,1118.5001220703125,399.0,1119.0833740234375,395.5,1.5001220706229157,0.709652952951609,-18.18538183365581,,,0
6,25115,1114.5,400.0,,1114.5,400.0,0,1116.6667073567708,399.3333231608073,Recorded: ML,1118.3333740234375,398.99999999999994,1114.5,400.0,1118.4286063058037,396.14285714285717,4.123224051322116,0.9175979894146983,36.06486289716779,18.549997333582535,210.9185598572854,0
7,25116,1117.5,401.0,,1117.5,401.0,0,1116.8333740234375,400.0,Recorded: ML,1115.500040690104,400.3333129882813,1117.5,401.0,1118.3125305175781,396.75,3.1622776601683795,0.6181391733191997,-34.70248075627001,18.549997333582535,210.9185598572854,0
8,25117,1118.0,402.0,,1118.0,402.0,0,1116.6666666666667,401.0,Recorded: ML,1117.0000406901042,400.6666768391927,1118.0,402.0,1118.277804904514,397.3333333333333,1.118033988749895,0.5843660205559876,-7.4166325055877875,18.549997333582535,210.9185598572854,0
9,25118,1123.2501220703125,396.7500915527344,233.99998288680217,1123.2501220703125,396.7500915527344,0,1119.5833740234375,399.9166971842448,Recorded: BS,1116.499959309896,402.0,1123.2501220703125,396.7500915527344,1118.7750366210937,397.27500915527344,7.424642783181786,0.5006406792493446,-100.09687281944095,33.6499974067874,624.7548523074022,0
10,25119,1122.8724365234375,395.7984619140625,204.4062061172781,1122.8724365234375,395.7984619140625,0,1121.3741861979167,398.18285115559894,Recorded: BS,1122.5000813802083,398.8333943684896,1122.8724365234375,395.7984619140625,1119.1475275213068,397.1407775878906,1.0238385329323327,0.39593886450255944,-13.127138697028478,28.929458259658574,607.2870596322961,0
