,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,16217,775.0,962.0,,775.0,962.0,0,775.0,962.0,ML,775.0,962.0,775.0,962.0,775.0,962.0,,,,,,Int_detection
1,16218,,,,775.0,962.0,1,775.0,962.0,Non,775.0,962.0,,,775.0,962.0,,,,,,
2,16219,,,,775.0,962.0,2,775.0,962.0,Non,775.0,962.0,,,775.0,962.0,,,,,,
3,16220,792.0,969.0,,792.0,969.0,0,780.6666666666666,964.3333333333334,Recorded: ML,775.0,962.0,792.0,969.0,779.25,963.75,,4.596194077712559,,,,0
4,16221,804.0,969.5,,804.0,969.5,0,790.3333333333334,966.8333333333334,Recorded: ML,786.3333333333333,966.6666666666667,804.0,969.5,784.2,964.9,12.010412149464313,5.081830378908804,-9.301011271893119,,,0
5,16222,824.5,970.0,,824.5,970.0,0,806.8333333333334,969.5,Recorded: ML,800.0000000000001,969.3333333333334,824.5,970.0,790.9166666666666,965.75,20.506096654409877,6.7702371532399095,-5.866633026588999,,,0
6,16223,843.0,961.5,,843.0,961.5,0,823.8333333333334,967.0,Recorded: ML,823.3333333333334,972.1666666666666,843.0,961.5,798.3571428571429,965.1428571428571,20.359273071502333,7.465206520252722,-11.877490622224617,,,0
7,16224,854.0,948.0,,854.0,948.0,0,840.5,959.8333333333334,Recorded: ML,840.8333333333334,964.5,854.0,948.0,805.3125,963.0,17.414074767267998,7.277968790767597,-12.458400436835083,,,0
8,16225,860.5,936.0,,860.5,936.0,0,852.5,948.5,Recorded: ML,857.1666666666666,952.6666666666667,860.5,936.0,811.4444444444445,960.0,13.647344063956181,6.826473662862345,-8.946385768156649,,,0
9,16226,868.5,927.5,,868.5,927.5,0,861.0,937.1666666666666,Recorded: ML,864.5,937.1666666666666,868.5,927.5,817.15,956.75,11.672617529928752,6.566267143326599,-3.5969291332077162,,,0
10,16227,861.5,906.0,,861.5,906.0,0,863.5,923.1666666666666,Recorded: ML,869.5,925.8333333333333,861.5,906.0,821.1818181818181,952.1363636363636,22.610838109190027,6.127087264525232,-19.18334692218715,,,0
