,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,6980,1407.5,271.0,,1407.5,271.0,0,1407.5,271.0,ML,1407.5,271.0,1407.5,271.0,1407.5,271.0,,,,,,Int_detection
1,6981,1406.0,276.0,,1406.0,276.0,0,1406.75,273.5,Recorded: ML [BS: Out of Range],1407.5,271.0,1406.0,276.0,1406.75,273.5,5.220153254455275,2.6100766272276377,,,,0
2,6982,1406.5,275.5,,1406.5,275.5,0,1406.6666666666667,274.1666666666667,Recorded: ML [BS: Out of Range],1406.0,276.0,1406.5,275.5,1406.6666666666667,274.1666666666667,0.7071067811865476,0.6718548123582219,-9.57422788509844,,,0
3,6983,1406.5,277.5,,1406.5,277.5,0,1406.3333333333333,276.3333333333333,Recorded: ML [BS: Out of Range],1406.5833333333335,274.83333333333337,1406.5,277.5,1406.625,275.0,2.0,0.8343743497708509,-4.262611122778173,,,0
4,6984,1403.0,284.0,,1403.0,284.0,0,1405.3333333333333,279.0,Recorded: ML [BS: Out of Range],1405.9999999999998,278.49999999999994,1403.0,284.0,1405.9,276.8,7.3824115301167,1.9405218370324797,19.076075241586846,,,0
5,6985,1403.0,285.0,,1403.0,285.0,0,1404.1666666666667,282.1666666666667,Recorded: ML [BS: Out of Range],1404.3333333333333,281.6666666666667,1403.0,285.0,1405.4166666666667,278.1666666666667,1.0,1.4496168076043146,-2.4619049687714036,,,0
6,6986,1401.0,285.0,,1401.0,285.0,0,1402.3333333333333,284.6666666666667,Recorded: ML [BS: Out of Range],1403.0000000000002,285.33333333333337,1401.0,285.0,1404.7857142857142,279.14285714285717,2.0,1.1623462276080458,13.399686253283845,,,0
7,6987,1402.0,282.5,,1402.0,282.5,0,1402.0,284.1666666666667,Recorded: ML [BS: Out of Range],1400.4999999999998,287.1666666666667,1402.0,282.5,1404.4375,279.5625,2.692582403567252,0.545301124450028,6.8091925778353355,,,0
8,6988,1401.0,286.5,,1401.0,286.5,0,1401.3333333333333,284.6666666666667,Recorded: ML [BS: Out of Range],1401.6666666666667,283.6666666666667,1401.0,286.5,1404.0555555555557,280.3333333333333,4.123105625617661,0.8602706471917119,-13.327246223756433,,,0
9,6989,,,,1401.0,286.5,1,1401.3333333333333,285.1666666666667,Non,1400.6666666666665,285.1666666666667,,,1403.75,280.95,,,,,,
10,6990,,,,1401.0,286.5,2,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1403.5,281.45454545454544,,,,,,
11,6991,,,,1401.0,286.5,3,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1402.909090909091,282.8636363636364,,,,,,
12,6992,,,,1401.0,286.5,4,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1402.4545454545455,283.8181818181818,,,,,,
13,6993,,,,1401.0,286.5,5,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.9545454545455,284.8181818181818,,,,,,
14,6994,,,,1401.0,286.5,6,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.4545454545455,285.6363636363636,,,,,,
15,6995,,,,1401.0,286.5,7,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.2727272727273,285.8636363636364,,,,,,
16,6996,,,,1401.0,286.5,8,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.090909090909,286.0,,,,,,
17,6997,,,,1401.0,286.5,9,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.090909090909,286.1363636363636,,,,,,
18,6998,,,,1401.0,286.5,10,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.0,286.5,,,,,,
19,6999,,,,1401.0,286.5,11,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.0,286.5,,,,,,
20,7000,,,,1401.0,286.5,12,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.0,286.5,,,,,,
21,7001,,,,1401.0,286.5,13,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.0,286.5,,,,,,
22,7002,,,,1401.0,286.5,14,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.0,286.5,,,,,,
23,7003,,,,1401.0,286.5,15,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.0,286.5,,,,,,
24,7004,,,,1401.0,286.5,16,1401.0,286.5,Non,1400.6666666666665,285.1666666666667,,,1401.0,286.5,,,,,,
25,7005,1415.0,283.0,,1415.0,283.0,0,1405.6666666666667,285.3333333333333,Recorded: ML,1400.6666666666665,285.1666666666667,1415.0,283.0,1402.2727272727273,286.1818181818182,,1.3118972445146888,,,,0
26,7006,1413.0,283.5,,1413.0,283.5,0,1409.6666666666667,284.3333333333333,Recorded: ML [BS: Out of Range],1410.3333333333335,284.16666666666663,1413.0,283.5,1403.3636363636363,285.90909090909093,2.0615528128088303,1.1244833524410949,0.0,,,0
27,7007,1411.5,286.0,,1411.5,286.0,0,1413.1666666666667,284.1666666666667,Recorded: ML [BS: Out of Range],1413.6666666666667,283.3333333333333,1411.5,286.0,1404.3181818181818,285.8636363636364,2.9154759474226504,0.9556270928013437,11.309932474019403,,,0
28,7008,,,,1411.5,286.0,1,1412.0,285.1666666666667,Non,1416.6666666666667,284.00000000000006,,,1405.2727272727273,285.8181818181818,,,,,,
