,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,14702,1162.5,558.5,,1162.5,558.5,0,1162.5,558.5,ML,1162.5,558.5,1162.5,558.5,1162.5,558.5,,,,,,Int_detection
1,14703,,,,1162.5,558.5,1,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
2,14704,,,,1162.5,558.5,2,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
3,14705,,,,1162.5,558.5,3,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
4,14706,,,,1162.5,558.5,4,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
5,14707,,,,1162.5,558.5,5,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
6,14708,,,,1162.5,558.5,6,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
7,14709,,,,1162.5,558.5,7,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
8,14710,,,,1162.5,558.5,8,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
9,14711,,,,1162.5,558.5,9,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
10,14712,,,,1162.5,558.5,10,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
11,14713,,,,1162.5,558.5,11,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
12,14714,,,,1162.5,558.5,12,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
13,14715,,,,1162.5,558.5,13,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
14,14716,,,,1162.5,558.5,14,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
15,14717,,,,1162.5,558.5,15,1162.5,558.5,Non,1162.5,558.5,,,1162.5,558.5,,,,,,
16,14763,1165.5,549.5,,1165.5,549.5,0,1163.5,555.5,ML,1165.5,549.5,1165.5,549.5,1162.7727272727273,557.6818181818181,,,,,,Int_detection
17,14764,1164.5,547.5,,1164.5,547.5,0,1164.1666666666667,551.8333333333334,Recorded: ML,1165.5,549.5,1164.5,547.5,1162.9545454545455,556.6818181818181,2.23606797749979,1.0163945352271881,-8.130102354150152,,,0
18,14765,,,,1164.5,547.5,1,1164.8333333333333,548.1666666666666,Non,1164.8333333333335,548.1666666666667,,,1163.1363636363637,555.6818181818181,,,,,,
19,14766,,,,1164.5,547.5,2,1164.5,547.5,Non,1164.8333333333335,548.1666666666667,,,1163.3181818181818,554.6818181818181,,,,,,
20,14767,,,,1164.5,547.5,3,1164.5,547.5,Non,1164.8333333333335,548.1666666666667,,,1163.5,553.6818181818181,,,,,,
21,14768,,,,1164.5,547.5,4,1164.5,547.5,Non,1164.8333333333335,548.1666666666667,,,1163.6818181818182,552.6818181818181,,,,,,
22,14769,,,,1164.5,547.5,5,1164.5,547.5,Non,1164.8333333333335,548.1666666666667,,,1163.8636363636363,551.6818181818181,,,,,,
23,14770,,,,1164.5,547.5,6,1164.5,547.5,Non,1164.8333333333335,548.1666666666667,,,1164.0454545454545,550.6818181818181,,,,,,
24,14771,1165.5,552.0,,1165.5,552.0,0,1164.8333333333333,549.0,Recorded: ML,1164.8333333333335,548.1666666666667,1165.5,552.0,1164.3181818181818,550.0909090909091,,0.6508100483306596,14.470294100063846,,,0
25,14772,1165.0,551.0,,1165.0,551.0,0,1165.0,550.1666666666666,Recorded: ML,1165.1666666666665,550.5,1165.0,551.0,1164.5454545454545,549.4090909090909,1.118033988749895,0.7186994682201516,-6.340191745911309,,,0
26,14773,,,,1165.0,551.0,1,1165.1666666666667,551.3333333333334,Non,1165.1666666666667,551.3333333333333,,,1164.7727272727273,548.7272727272727,,,,,,
27,14774,,,,1165.0,551.0,2,1165.0,551.0,Non,1165.1666666666667,551.3333333333333,,,1164.7272727272727,548.8636363636364,,,,,,
28,14775,,,,1165.0,551.0,3,1165.0,551.0,Non,1165.1666666666667,551.3333333333333,,,1164.7727272727273,549.1818181818181,,,,,,
29,14776,,,,1165.0,551.0,4,1165.0,551.0,Non,1165.1666666666667,551.3333333333333,,,1164.8181818181818,549.5,,,,,,
30,14777,,,,1165.0,551.0,5,1165.0,551.0,Non,1165.1666666666667,551.3333333333333,,,1164.8636363636363,549.8181818181819,,,,,,
31,14778,,,,1165.0,551.0,6,1165.0,551.0,Non,1165.1666666666667,551.3333333333333,,,1164.909090909091,550.1363636363636,,,,,,
32,14779,,,,1165.0,551.0,7,1165.0,551.0,Non,1165.1666666666667,551.3333333333333,,,1164.9545454545455,550.4545454545455,,,,,,
33,14780,1164.0,547.5,,1164.0,547.5,0,1164.6666666666667,549.8333333333334,Recorded: ML,1165.1666666666667,551.3333333333333,1164.0,547.5,1164.909090909091,550.4545454545455,,0.045454545454504114,98.13010235414737,,,0
34,14781,,,,1164.0,547.5,1,1164.3333333333333,548.6666666666666,Non,1164.3333333333335,548.6666666666667,,,1164.8636363636363,550.4545454545455,,,,,,
35,14782,,,,1164.0,547.5,2,1164.0,547.5,Non,1164.3333333333335,548.6666666666667,,,1164.7272727272727,550.0454545454545,,,,,,
