,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,11949,1286.0,837.5,,1286.0,837.5,0,1286.0,837.5,ML,1286.0,837.5,1286.0,837.5,1286.0,837.5,,,,,,Int_detection
1,11950,1288.70703125,839.5172729492188,302.29319184679844,1288.70703125,839.5172729492188,0,1287.353515625,838.5086364746094,Recorded: BS,1286.0,837.5,1288.70703125,839.5172729492188,1287.353515625,838.5086364746094,3.3760047897072476,1.6880023948536238,,,,0
2,11951,1294.1646728515625,843.7587890625,319.6470987399698,1294.1646728515625,843.7587890625,0,1289.6239013671875,840.2586873372396,Recorded: BS,1288.70703125,839.5172729492188,1294.1646728515625,843.7587890625,1289.6239013671875,840.2586873372396,6.91204100033631,2.866588467171588,0.9322423607632353,,,0
3,11952,1299.0577392578125,845.211669921875,305.00000595770325,1299.0577392578125,845.211669921875,0,1293.9764811197917,842.8292439778646,Recorded: BS,1291.894287109375,842.0087381998699,1299.0577392578125,845.211669921875,1291.9823608398438,841.4969329833984,5.104210188414122,2.663753623065253,-9.925120500995911,,,0
4,11953,1303.5,843.5,297.0,1303.5,843.5,0,1298.907470703125,844.1568196614584,Recorded: BS,1298.329060872396,845.3998006184896,1303.5,843.5,1294.285888671875,841.8975463867188,4.7606191218193254,2.3381042688174736,-17.834705521478018,,,0
5,11954,1307.0,838.0,336.0,1307.0,838.0,0,1303.1859130859375,842.2372233072916,Recorded: BS,1303.8384602864583,845.4843953450521,1307.0,838.0,1296.4049072265625,841.2479553222656,6.519202405202649,2.2163501948309694,-26.908871087668825,4.476651756643329,160.45906757019995,0
6,11955,1312.224365234375,826.689697265625,493.86216936971323,1312.224365234375,826.689697265625,0,1307.5747884114583,836.063232421875,Recorded: BS,1307.46435546875,840.3176269531249,1312.224365234375,826.689697265625,1298.664829799107,839.1682041713169,12.458609073462284,3.071256238702517,-25.579533428496518,28.540102441056018,2385.575674024131,0
7,11956,1310.10009765625,818.2000732421875,337.99998774737287,1310.10009765625,818.2000732421875,0,1309.7748209635417,827.6299235026041,Recorded: BS,1311.963663736979,829.8892415364584,1310.10009765625,818.2000732421875,1300.09423828125,836.5471878051758,8.751355826544833,2.98545396889681,-18.77092936891084,17.3768043929824,2875.5739712310396,0
8,11957,1314.1630859375,801.6062622070312,1079.906417709266,1314.1630859375,801.6062622070312,0,1312.1625162760417,815.4986775716146,Recorded: BS,1311.9748535156252,819.1966145833333,1314.1630859375,801.6062622070312,1301.657443576389,832.6648627387153,17.083981925887425,4.1852190762751595,-6.674452602829456,73.10289900369428,35122.80224072828,0
9,11958,1314.1220703125,797.4024047851562,812.6830347336363,1314.1220703125,797.4024047851562,0,1312.7950846354167,805.7362467447916,Recorded: BS,1314.5502115885417,803.3674316406251,1314.1220703125,797.4024047851562,1302.90390625,829.1386169433594,4.204057504952527,3.7400639842082413,-2.464457761765384,76.41999102340486,31391.427983470894,0
10,11959,1319.2000732421875,789.6000366210938,447.99992359107455,1319.2000732421875,789.6000366210938,0,1315.8284098307292,796.2029012044271,Recorded: BS,1313.4276529947917,795.9738159179686,1319.2000732421875,789.6000366210938,1304.3853759765625,825.5442005504261,9.309299797594385,3.8877476456822664,2.9318709340328684,54.04852320620483,39262.9017756362,0
