,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,35496,521.5,651.0,,521.5,651.0,0,521.5,651.0,ML,521.5,651.0,521.5,651.0,521.5,651.0,,,,,,Int_detection
1,35497,528.5,650.0,228.0,528.5,650.0,0,525.0,650.5,Recorded: BS,521.5,651.0,528.5,650.0,525.0,650.5,7.0710678118654755,3.5355339059327378,,,,0
2,35498,530.0,649.0,264.0,530.0,649.0,0,526.6666666666666,650.0,Recorded: BS,528.5,650.0,530.0,649.0,526.6666666666666,650.0,1.8027756377319946,1.7400510848183888,-8.569141879838002,,,0
3,35499,531.0,647.0,288.0,531.0,647.0,0,529.8333333333334,648.6666666666666,Recorded: BS,528.3333333333333,649.5,531.0,647.0,527.75,649.25,2.23606797749979,1.317615691736856,-17.99590929723905,,,0
4,35500,531.5,647.0,230.0,531.5,647.0,0,530.8333333333334,647.6666666666666,Recorded: BS,533.0000000000001,647.3333333333333,531.5,647.0,528.5,648.8,0.5,0.8746427842268185,3.731396999156954,,,0
5,35501,532.0,647.0,240.0,532.0,647.0,0,531.5,647.0,Recorded: BS,531.8333333333334,646.6666666666666,532.0,647.0,529.0833333333334,648.5,0.5,0.6559556218051604,3.7476449747736473,-1.0000000000000202,522.7999999999996,0
6,35502,532.5,647.0,230.0,532.5,647.0,0,532.0,647.0,Recorded: BS,532.1666666666666,646.3333333333334,532.5,647.0,529.5714285714286,648.2857142857143,0.5,0.5330622185056002,3.5134656063386442,-3.428571428571436,458.6031746031744,0
7,35503,532.0,647.0,220.0,532.0,647.0,0,532.1666666666666,647.0,Recorded: BS,532.5,647.0,532.0,647.0,529.875,648.125,0.5,0.34348900110131114,-4.194625079989757,-5.000000000000018,409.55102040816354,0
8,35504,532.0230712890625,647.3154296875,214.41538090026006,532.0230712890625,647.3154296875,0,532.1743570963541,647.1051432291666,Recorded: BS,532.3333333333333,647.0,532.0230712890625,647.3154296875,530.1136745876736,648.0350477430555,0.3162723069371599,0.25506267333845195,7.246726659034102,-5.703480163073594,363.553428425442,0
9,35505,532.0,648.0,220.0,532.0,648.0,0,532.0076904296875,647.4384765625,Recorded: BS,532.1820475260416,647.2102864583333,532.0,648.0,530.3023071289062,648.03154296875,0.6849589747826895,0.18866509760638087,19.586116823676672,-5.279230954986994,325.9584068980254,0
10,35506,532.46728515625,648.3606567382812,202.25409228855096,532.46728515625,648.3606567382812,0,532.1634521484375,647.8920288085938,Recorded: BS,531.8410237630209,647.7718098958334,532.46728515625,648.3606567382812,530.4991233132102,648.0614624023438,0.5902784936953548,0.19907732897181785,9.708190041272053,-5.74325009031358,298.09946888310566,0
11,35507,532.5,649.0,210.0,532.5,649.0,0,532.3224283854166,648.4535522460938,Recorded: BS,532.3192138671875,648.3455810546875,532.5,649.0,531.4991233132102,647.8796442205256,0.6401797148510385,1.016394535227168,-18.94860896179245,-7.411970977450671,166.5532438229322,0
12,35508,532.4146118164062,649.768310546875,221.28056765912334,532.4146118164062,649.768310546875,0,532.4606323242188,649.0429890950521,Recorded: BS,532.4814046223958,649.0150756835938,532.4146118164062,649.768310546875,531.8549971147017,647.8585815429688,0.7730409034047303,0.35649656235912675,6.9177009366636195,-5.847206355908325,227.42438651343264,0
13,35509,531.5,650.5,207.0,531.5,650.5,0,532.1382039388021,649.756103515625,Recorded: BS,532.5988362630209,649.6324259440105,531.5,650.5,531.9913607510654,647.9949451793324,1.1712746178946685,0.1928473039599529,48.387145532099545,-2.9435704873984436,49.93647605999277,0
14,35510,531.0,650.5,198.0,531.0,650.5,0,531.6382039388021,650.256103515625,Recorded: BS,531.8157755533855,650.4692179361979,531.0,650.5,531.9913607510654,648.3131269975142,0.5,0.31818181818186986,45.0,-3.4156921946461303,50.09514807983264,0
15,35511,530.5,651.0,230.0,530.5,651.0,0,531.0,650.6666666666666,Recorded: BS,531.1382039388021,650.756103515625,530.5,651.0,531.9004516601562,648.6767633611506,0.7071067811865476,0.3748277841470776,14.036243467930694,-1.087813901893826,98.1749724375774,0
16,35512,529.5,651.0,230.0,529.5,651.0,0,530.3333333333334,650.8333333333334,Recorded: BS,530.3617960611979,651.0772298177083,529.5,651.0,531.6731789328835,649.0403997247869,1.0,0.4288173241843144,17.969139740162465,0.6946098454039412,103.95703648210379,0
17,35513,527.5,653.5,253.0,527.5,653.5,0,529.1666666666666,651.8333333333334,Recorded: BS,529.6666666666667,651.0000000000001,527.5,653.5,531.2186334783381,649.631308815696,3.2015621187164243,0.7455099757661953,5.563208820728475,3.064912380580494,159.50256775021322,0
18,35514,527.8499755859375,654.4500122070312,251.5999991056142,527.8499755859375,654.4500122070312,0,528.2833251953125,652.9833374023438,Recorded: BS,527.9999999999999,652.8333333333334,527.8499755859375,654.4500122070312,530.8413585316051,650.3085826526989,1.0124258512408122,0.7752652679702462,-8.448627421194612,4.586543290626065,156.8094495621561,0
19,35515,529.0,656.0000610351562,244.79996897435558,529.0,656.0000610351562,0,528.1166585286459,654.6500244140625,Recorded: BS,527.3999837239584,654.1333414713541,529.0,656.0000610351562,530.5665338689631,651.0980945933949,1.9300796674001521,0.8359770928068896,-9.927245150135782,5.658848761308634,110.05206746942667,0
20,35516,528.0,657.5000610351562,229.59997893452237,528.0,657.5000610351562,0,528.2833251953125,655.9833780924479,Recorded: BS,527.9499918619792,656.3167114257812,528.0,657.5000610351562,530.2028975053267,651.9617365056819,1.8027756377319946,0.937074574202833,3.640803067238744,4.4183976675478585,157.2097633965364,0
21,35517,528.2500610351562,659.2500610351562,249.99999987223418,528.2500610351562,659.2500610351562,0,528.4166870117188,657.5833943684896,Recorded: BS,528.4499918619791,657.3167317708333,528.2500610351562,659.2500610351562,529.8195134943181,652.9516823508523,1.7677755856735367,1.0615912943629278,-1.6632448040599996,4.475603543322883,156.7878408762295,0
22,35518,529.10009765625,662.3001098632812,266.59995933594473,529.10009765625,662.3001098632812,0,528.4500528971354,659.6834106445312,Recorded: BS,528.550048828125,659.1834106445314,529.10009765625,662.3001098632812,529.5104314630681,654.1607832475142,3.1662849068185834,1.247981041663079,-6.830857676657725,5.705451114123843,145.45269904280644,0
23,35519,528.0,666.0,288.0,528.0,666.0,0,528.4500528971354,662.5167236328125,Recorded: BS,528.483418782552,661.7834269205729,528.0,666.0,529.1091031161221,655.6363913796165,3.859974336323421,1.5292101888192833,0.8755666199271528,6.601209826576321,174.22451120172596,0
24,35520,526.9658203125,670.5753173828125,356.16437931552355,526.9658203125,670.5753173828125,0,528.02197265625,666.2918090820312,Recorded: BS,528.4500528971354,665.3500366210938,526.9658203125,670.5753173828125,528.6969049627131,657.4614202325994,4.690741602295294,1.8709990999179587,-2.4877972932514543,9.633207410784623,559.4012483704656,0
25,35521,527.5,676.0,276.0,527.5,676.0,0,527.4886067708334,670.8584391276041,Recorded: BS,527.5938924153646,670.06689453125,527.5,676.0,528.3787231445312,659.7796020507812,5.450920054060032,2.3399159411334676,-4.911895823920003,8.508791828503465,642.351065442029,0
26,35522,527.9776000976562,679.6242065429688,306.06371710712483,527.9776000976562,679.6242065429688,0,527.4811401367188,675.3998413085938,Recorded: BS,526.9552408854167,675.425069173177,527.9776000976562,679.6242065429688,528.1494140625,662.3818026455966,3.6555403047126642,2.6122845539411457,-2.7793282135357225,8.46663960358066,642.9640505193557,0
27,35523,525.79052734375,684.1423950195312,400.7952077891787,525.79052734375,684.1423950195312,0,527.0893758138021,679.9222005208334,Recorded: BS,527.4736735026041,679.9412434895834,525.79052734375,684.1423950195312,527.8121892755681,665.3947476473721,5.019692653999967,3.0317582589390684,1.3503032326639313,14.203008481228952,969.0048945318143,0
28,35524,524.730712890625,686.65380859375,320.846106144887,524.730712890625,686.65380859375,0,526.1662801106771,683.4734700520834,Recorded: BS,526.6976114908855,684.444559733073,524.730712890625,686.65380859375,527.5604359019886,668.408730246804,2.725876889337235,3.024478611395153,-1.6115233059775704,13.69372681211831,1028.0265604090985,0
29,35525,523.0487670898438,688.9390869140625,294.14633816708374,523.0487670898438,688.9390869140625,0,524.5233357747396,686.5784301757812,Recorded: BS,525.2431844075521,687.0247395833334,523.0487670898438,688.9390869140625,527.1239624023438,671.5441006747159,2.8375057141891364,3.1656052874792477,3.150441361840116,10.43541206832511,1411.347370620862,0
30,35526,522.1809692382812,689.8009033203125,309.8641861349279,522.1809692382812,689.8009033203125,0,523.3201497395834,688.464599609375,Recorded: BS,522.8803914388021,689.6833902994791,522.1809692382812,689.8009033203125,526.5040505149148,674.616904518821,1.2230292838923178,3.134711184865842,3.480653493342863,6.422964008695395,1438.0127392212153,0
