,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,4823,934.5,1029.5,,934.5,1029.5,0,934.5,1029.5,ML,934.5,1029.5,934.5,1029.5,934.5,1029.5,,,,,,Int_detection
1,4824,942.5,1026.0,,942.5,1026.0,0,938.5,1027.75,Recorded: ML,934.5,1029.5,942.5,1026.0,938.5,1027.75,8.73212459828649,4.366062299143245,,,,0
2,4825,965.5,1014.0,,965.5,1014.0,0,947.5,1023.1666666666666,Recorded: ML,942.5,1026.0,965.5,1014.0,947.5,1023.1666666666666,25.942243542145693,10.099848733740759,-3.3585128510918616,,,0
3,4826,,,,965.5,1014.0,1,957.8333333333334,1018.0,Non,956.5,1018.5833333333333,,,952.0,1020.875,,,,,,
4,4827,1002.0,985.5,,1002.0,985.5,0,977.6666666666666,1004.5,Recorded: ML,956.5,1018.5833333333333,1002.0,985.5,962.0,1013.8,,12.249719384541045,-8.291516169312677,,,0
5,4828,1013.5,975.5,,1013.5,975.5,0,993.6666666666666,991.6666666666666,Recorded: ML,997.4999999999999,991.0,1013.5,975.5,970.5833333333334,1007.4166666666666,15.239750654128171,10.696754440275617,-1.3583808732672453,,,0
6,4829,1022.0,969.5,,1022.0,969.5,0,1012.5,976.8333333333334,Recorded: ML [BS: Out of Range],1009.6666666666666,978.8333333333333,1022.0,969.5,977.9285714285714,1002.0,10.404326023342406,9.126488944468953,0.2312686479008404,,,0
7,4830,,,,1022.0,969.5,1,1019.1666666666666,971.5,Non,1031.3333333333335,962.0000000000001,,,983.4375,997.9375,,,,,,
8,4831,1062.5,938.0,,1062.5,938.0,0,1035.5,959.0,Recorded: ML,1031.3333333333335,962.0000000000001,1062.5,938.0,992.2222222222222,991.2777777777778,,11.023758188511025,-0.7593476835877141,,,0
9,4832,1076.0838623046875,971.8087158203125,801.0000380764541,1076.0838623046875,971.8087158203125,0,1053.5279541015625,959.7695719401041,Recorded: BS,1051.8333333333335,946.5,1076.0838623046875,971.8087158203125,1000.6083862304688,989.3308715820312,36.43556752036887,8.609192209972287,24.095782999991055,,,0
