,nframe,x0,y0,area,x,y,occlusion,sx,sy,method,px,py,x0i,y0i,sx11,sy11,speed,speeds,angle,delta_area,mse_area,state
0,2396,1233.5,669.5,,1233.5,669.5,0,1233.5,669.5,ML,1233.5,669.5,1233.5,669.5,1233.5,669.5,,,,,,Int_detection
1,2397,1235.0,669.0,,1235.0,669.0,0,1234.25,669.25,Recorded: ML,1233.5,669.5,1235.0,669.0,1234.25,669.25,1.5811388300841898,0.7905694150420949,,,,0
2,2398,,,,1235.0,669.0,1,1234.5,669.1666666666666,Non,1235.0,669.0,,,1234.5,669.1666666666666,,,,,,
3,2399,,,,1235.0,669.0,2,1235.0,669.0,Non,1235.0,669.0,,,1234.625,669.125,,,,,,
4,2400,,,,1235.0,669.0,3,1235.0,669.0,Non,1235.0,669.0,,,1234.7,669.1,,,,,,
5,2401,,,,1235.0,669.0,4,1235.0,669.0,Non,1235.0,669.0,,,1234.75,669.0833333333334,,,,,,
6,2402,,,,1235.0,669.0,5,1235.0,669.0,Non,1235.0,669.0,,,1234.7857142857142,669.0714285714286,,,,,,
7,2403,,,,1235.0,669.0,6,1235.0,669.0,Non,1235.0,669.0,,,1234.8125,669.0625,,,,,,
8,2404,,,,1235.0,669.0,7,1235.0,669.0,Non,1235.0,669.0,,,1234.8333333333333,669.0555555555555,,,,,,
9,2405,,,,1235.0,669.0,8,1235.0,669.0,Non,1235.0,669.0,,,1234.85,669.05,,,,,,
10,2406,,,,1235.0,669.0,9,1235.0,669.0,Non,1235.0,669.0,,,1234.8636363636363,669.0454545454545,,,,,,
11,2407,,,,1235.0,669.0,10,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
12,2408,,,,1235.0,669.0,11,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
13,2409,,,,1235.0,669.0,12,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
14,2410,,,,1235.0,669.0,13,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
15,2411,,,,1235.0,669.0,14,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
16,2412,,,,1235.0,669.0,15,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
17,2413,,,,1235.0,669.0,16,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
18,2414,,,,1235.0,669.0,17,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
19,2415,,,,1235.0,669.0,18,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
20,2416,,,,1235.0,669.0,19,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
21,2417,,,,1235.0,669.0,20,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
22,2418,,,,1235.0,669.0,21,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
23,2419,,,,1235.0,669.0,22,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
24,2420,,,,1235.0,669.0,23,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
25,2421,,,,1235.0,669.0,24,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
26,2422,,,,1235.0,669.0,25,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
27,2423,,,,1235.0,669.0,26,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
28,2424,,,,1235.0,669.0,27,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
29,2425,,,,1235.0,669.0,28,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
30,2426,,,,1235.0,669.0,29,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
31,2427,,,,1235.0,669.0,30,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
32,2428,,,,1235.0,669.0,31,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
33,2429,,,,1235.0,669.0,32,1235.0,669.0,Non,1235.0,669.0,,,1235.0,669.0,,,,,,
